Category,Phrase,Severity,Alternative,Notes
Humble Brag,I'm thrilled to announce,HIGH,Today we launched,Fake excitement
Humble Brag,Excited to share,HIGH,[Direct statement],Empty enthusiasm
Humble Brag,Honored to,HIGH,[State fact],False modesty
Humble Brag,Humbled to,CRITICAL,[Remove entirely],Contradictory
Humble Brag,Blessed to,HIGH,[State achievement],Religious cringe
Corporate Jargon,Leverage,MEDIUM,Use,Buzzword
Corporate Jargon,Synergy,CRITICAL,[Be specific],Meaningless
Corporate Jargon,Circle back,MEDIUM,Follow up later,Evasive
Corporate Jargon,Touch base,MEDIUM,Talk / Meet,Vague
Corporate Jargon,Move the needle,HIGH,Increase by X%,Imprecise
Corporate Jargon,Low-hanging fruit,HIGH,[Specific opportunity],Lazy thinking
Corporate Jargon,Paradigm shift,CRITICAL,[Describe actual change],Overused
Corporate Jargon,Game-changer,CRITICAL,[Specific impact],Meaningless
Corporate Jargon,Disruptive,HIGH,[Explain how],Startup bingo
Corporate Jargon,Revolutionary,HIGH,[Show data],Hyperbole
Engagement Bait,What do you think?,CRITICAL,[End with insight],Lazy ending
Engagement Bait,Thoughts?,CRITICAL,[End with value],Algorithm gaming
Engagement Bait,Comment below,HIGH,[Provide value],Desperate
Engagement Bait,Drop a 👍,CRITICAL,[Remove],Cringe
Engagement Bait,Tag someone who,HIGH,[Remove],Spammy
Engagement Bait,Share if you agree,HIGH,[Remove],Chain letter energy
Engagement Bait,Did I miss anything?,MEDIUM,[Be complete],Insecurity signal
Empty Opener,In today's world,CRITICAL,[Start with specifics],Filler
Empty Opener,In this day and age,CRITICAL,[Remove],Meaningless
Empty Opener,It goes without saying,HIGH,[Then don't say it],Contradiction
Empty Opener,As we all know,HIGH,[State assumption or remove],Condescending
Empty Opener,Let's face it,MEDIUM,[Direct statement],Weak
Empty Opener,At the end of the day,HIGH,[State conclusion],Cliché
Empty Opener,To be honest,MEDIUM,[Just be honest],Implies dishonesty
Generic Wisdom,Your network is your net worth,CRITICAL,[Specific networking advice],Cliché
Generic Wisdom,Fail fast,HIGH,[Explain testing methodology],Overused
Generic Wisdom,Think outside the box,CRITICAL,[Specific creative approach],Meaningless
Generic Wisdom,Work smarter not harder,HIGH,[Actual productivity tactic],Empty
Generic Wisdom,It's a marathon not a sprint,HIGH,[Timeline with milestones],Sports metaphor overuse
Generic Wisdom,Overnight success is years in making,MEDIUM,[Actual timeline],Contradicts itself
Credential Flex,As a Forbes 30 Under 30,HIGH,[Let work speak],Humble brag
Credential Flex,Award-winning,MEDIUM,[Specify achievement],Vague flex
Credential Flex,Industry leader,MEDIUM,[Specific metric],Self-proclaimed
Credential Flex,Thought leader,CRITICAL,[Show actual thoughts],Cringe term
Credential Flex,Expert in,MEDIUM,[Demonstrate expertise],Show don't tell
Fake Vulnerability,I'll be honest,MEDIUM,[Just be honest],Implies prior dishonesty
Fake Vulnerability,I'm not perfect but,HIGH,[Specific mistake or remove],False modesty
Fake Vulnerability,Confession time,HIGH,[Direct admission],Performative
Fake Vulnerability,Vulnerability moment,CRITICAL,[Remove],Meta-cringe
Algorithmic Gaming,This will probably get me in trouble,HIGH,[State opinion directly],Attention seeking
Algorithmic Gaming,Unpopular opinion,HIGH,[Just state opinion],Not as unpopular as you think
Algorithmic Gaming,Nobody is talking about this,MEDIUM,[Remove],Probably untrue
Algorithmic Gaming,Everyone is talking about X but,MEDIUM,[State position],Generic opener
Emoji Overuse,🚀,CRITICAL,[Remove or use once],Overused
Emoji Overuse,💡,HIGH,[Remove],Cliché
Emoji Overuse,🔥,CRITICAL,[Remove],Startup bingo
Emoji Overuse,💪,HIGH,[Remove],Motivational cringe
Emoji Overuse,👇,CRITICAL,[Remove],Engagement bait
Emoji Overuse,✨,MEDIUM,[Remove],Decorative nonsense
Question Hooks,Have you ever wondered,HIGH,[Direct problem statement],Weak opening
Question Hooks,What if I told you,CRITICAL,[Just tell them],Clickbait
Question Hooks,Are you making this mistake,HIGH,[State the mistake],Manipulative
Question Hooks,Do you want to know the secret,CRITICAL,[Share the insight],Withholding value
Listicle Signals,Here are X ways to,MEDIUM,[Framework instead],Lazy structure
Listicle Signals,X tips for,MEDIUM,[Depth over breadth],Shallow
Listicle Signals,X things I learned,MEDIUM,[Deep dive on one],Clickbait structure
Vague Claims,Improved performance,HIGH,[Specific metric],Meaningless
Vague Claims,Significant impact,HIGH,[Quantify impact],Evasive
Vague Claims,Game-changing results,CRITICAL,[Actual numbers],Hyperbole
Vague Claims,Massive success,HIGH,[Define success],Empty
Vague Claims,Incredible journey,MEDIUM,[Specific milestones],Vague
Trendy Overuse,Double down,MEDIUM,[Commit / Invest more in],Poker metaphor overuse
Trendy Overuse,Deep dive,MEDIUM,[Analyze / Examine],Unless genuinely technical
Trendy Overuse,Unpack,MEDIUM,[Explain / Break down],Therapy speak
Trendy Overuse,Lean in,HIGH,[Engage with / Focus on],Sheryl Sandberg tax
Trendy Overuse,North Star,MEDIUM,[Goal / Vision],Startup jargon